Peak	FN_45	LN_45	N0_45	FN_60	LN_60	N0_60	FN_75	LN_75	N0_75
Analyte 6	0.016373615	0.015742372	0.016688968	0.00933104	0.019353162	0.021643411	0.013127905	0.016017226	0.011588751
Analyte 12	0.006861281	0.005293588	0.003663425	0.005774955	0.007040907	0.006276203	0.009497535	0.005682856	0.005860103
Analyte 24	9.26E-05	0.000100311	0.000120405	3.63E-11	5.10E-05	2.37E-05	4.85E-05	2.43E-05	0.000115961
Analyte 25	9.94E-05	0.000256161	0.000145193	0.00012468	0.000192567	0.000195692	0.000139089	0.000209486	0.00023606
Analyte 28	0.001218927	0.00058985	0.001081625	0.001247572	0.000899223	0.000277757	0.00064315	0.001871142	0.000589706
Analyte 29	0.000859186	0.000720912	0.000788626	0.001016959	0.000738752	0.000702886	0.001114636	0.000562542	0.000553183
Analyte 31	0.008859657	0.000298617	0.000147935	0.006904129	0.000219563	9.57E-05	0.006479417	0.000497484	0.000221007
Analyte 33	3.76E-11	0.000391438	0.000373235	3.63E-11	0.000276505	0.000317952	4.14E-11	0.000284002	0.00037321
Analyte 34	0.000129918	0.00019246	0.00013412	9.29E-05	0.000134989	0.000131699	9.80E-05	6.04E-05	0.000152111
Analyte 36	3.98E-05	6.14E-11	3.46E-06	8.58E-05	1.31E-06	5.40E-11	0.000228174	5.02E-05	4.67E-11
Analyte 37	4.45E-05	6.14E-11	4.93E-11	5.01E-05	4.61E-11	5.40E-11	3.63E-05	3.88E-11	4.67E-11
Analyte 43	4.04E-05	0.000103095	0.000151428	6.26E-05	6.62E-05	0.000131977	4.04E-05	5.75E-05	0.00010865
Analyte 47	5.57E-05	5.83E-05	7.62E-05	3.33E-05	5.73E-05	6.79E-05	4.87E-05	3.03E-05	7.04E-05
Analyte 48	0.000229255	0.000330561	0.000420553	0.000255007	0.000398299	0.000442084	0.000322031	0.0002591	0.000411424
Analyte 51	0.000141567	6.14E-11	2.30E-05	0.000103166	4.61E-11	5.40E-11	0.000151885	2.53E-05	1.92E-05
Analyte 52	1.61E-05	0.000143539	0.000176223	1.45E-05	0.000148302	0.000204148	1.23E-05	8.88E-05	0.000142861
Analyte 54	0.000839829	0.001657486	0.00158578	0.00082709	0.00091721	0.00175279	0.000999586	0.001040154	0.001458743
Analyte 56	0.000123875	0.00034666	0.000353634	0.000130085	0.000346212	0.000342895	8.28E-05	0.000269271	0.000329383
Analyte 58	0.000140066	3.97E-05	4.58E-05	0.00011359	4.02E-05	5.01E-05	0.000150546	3.38E-05	5.30E-05
Analyte 60	9.19E-05	0.000893353	0.001080329	9.84E-05	0.000999377	0.001278191	9.50E-05	0.000701686	0.000907251
Analyte 64	1.55E-05	6.47E-05	8.33E-05	1.70E-05	8.88E-05	0.000115123	5.95E-05	6.95E-05	6.88E-05
unknow	0.000100343	0.000335737	0.000549129	0.000121583	0.000394125	0.000380101	7.84E-05	0.000210073	0.000233615
Analyte 69	0.000121501	0.000110315	0.000108946	0.000197818	0.00010101	9.24E-05	0.000385229	0.000100111	8.46E-05
Analyte 70	6.86E-05	6.14E-11	4.93E-11	4.89E-05	4.61E-11	5.40E-11	7.09E-05	3.88E-11	4.67E-11
Analyte 75	0.000194105	0.000391828	0.000465135	0.000192322	0.000453656	0.00051058	0.000263553	0.000427694	0.000489993
2-hydroxypyridine	0.010158274	0.012549551	0.012225549	0.009090663	0.013181143	0.013297107	0.014001232	0.008873968	0.013583007
Analyte 82	0.000125917	0.000128458	0.000121222	0.000150208	0.000132227	8.91E-05	3.16E-05	0.000116176	9.66E-05
Analyte 87	4.84E-05	5.03E-05	6.05E-05	2.80E-05	5.50E-05	7.29E-05	3.29E-05	3.35E-05	4.07E-05
2-ketobutyric acid 2	3.76E-11	9.04E-05	7.80E-05	3.43E-05	1.90E-05	0.000169635	4.14E-11	1.16E-05	7.27E-05
Analyte 94	0.000314166	0.000634906	0.000449468	0.000301167	0.000768394	0.000864044	0.000472033	0.000538989	0.000473582
glycolic acid	0.00054526	0.000792375	0.000865381	0.000575793	0.000884024	0.000958107	0.000700716	0.000538843	0.000818434
Analyte 101	0.000187447	0.000337839	0.000259265	0.000175962	0.000346456	0.000394391	0.000346731	0.000301581	0.000352346
