gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YGL009C	37261.5041001932	-4.53055242074121	0.274253090417216	-16.5196038952523	2.65133608839255e-61	1.66954633486079e-57
YKL120W	2231.75166664965	-4.03171780662365	0.251586295837487	-16.0251884674512	8.52320793282162e-58	2.68353201764889e-54
YOR226C	594.424028683673	-3.0185006409772	0.194924971969969	-15.4854486342686	4.35017307331475e-54	9.13101328088766e-51
YHR208W	14030.2259633891	-3.31177147744032	0.226789517023608	-14.6028419695236	2.69377731180403e-48	4.24067893310749e-45
YCL018W	7785.82689296189	-3.17974650207359	0.232589381279207	-13.6710733937442	1.51148975871857e-42	1.90357020213016e-39
YLR355C	29131.8312246398	-2.15823926170206	0.166295959178914	-12.9783024936887	1.62440911604414e-38	1.70481736728833e-35
YOR225W	301.921115607721	-3.12913466484408	0.242905774205969	-12.8820925524428	5.67750549651747e-38	5.10732173022436e-35
YNL104C	18253.7060114669	-2.12602640436192	0.16956209198652	-12.5383355410061	4.60567538664935e-36	3.62524223871637e-33
YBR068C	13551.3783042538	-2.02374396688116	0.165882577938966	-12.1998584301346	3.11364824466701e-34	2.17851588851868e-31
YNR064C	322.491004034901	3.17564694886829	0.297581762958557	10.6715106372649	1.38358451989171e-26	8.71243172175811e-24
YMR108W	11093.6768742584	-2.27789468897886	0.227592662419426	-10.0086473121043	1.39648835826961e-23	7.99426108365795e-21
YGR067C	2663.91637247276	-2.07313032916114	0.207333320342945	-9.99902150668316	1.53910274182663e-23	8.07644163773524e-21
YDR014W-A	131.661042321959	3.17549568642403	0.319600984406968	9.93581322133999	2.90793384245422e-23	1.40855841584109e-20
YKL216W	1106.53152558827	2.17666218862943	0.22615873049095	9.62448888842048	6.30194378095595e-22	2.83452428490568e-19
YEL021W	9513.76256967523	-2.30680738111365	0.257588396990975	-8.95540097326073	3.38503095265414e-19	1.42103599392421e-16
YOL048C	1118.5654190424	-1.52532631462887	0.17061505501537	-8.94016248736933	3.88598556671665e-19	1.52937819460092e-16
YNL103W-A	386.650527500455	-2.07845708712526	0.238196805102815	-8.72579750273361	2.64311273736392e-18	9.79040053363563e-16
YKR071C	1540.55029067752	-1.68888029232608	0.194033850328992	-8.70404978029616	3.20246468158885e-18	1.1203288944425e-15
YGL125W	1919.92689218656	-1.60716301712016	0.19307730989169	-8.32393520513481	8.50901317346551e-17	2.82006610280591e-14
YBR256C	3024.94082363921	-1.87025554790729	0.22549338689313	-8.2940594120114	1.09447745124448e-16	3.44596225524325e-14
YGL253W	1970.56805642632	1.36247358134322	0.167986195208231	8.11062825522262	5.03587019877928e-16	1.51004164960539e-13
YBR047W	600.211777438001	-2.22073018608656	0.275289776484654	-8.0668821575739	7.21160945107549e-16	2.06415930515556e-13
YMR101C	94.3851114352463	2.93501942414227	0.366383702227186	8.01078051862236	1.13982709211723e-15	3.12064834741835e-13
YIL121W	432.907206795546	-1.75995513392836	0.225123400906075	-7.81773519254288	5.37821800820792e-15	1.41110994990355e-12
YLR312C	1630.80225914868	-1.43730798773737	0.185659912514926	-7.74161728435491	9.81600875893055e-15	2.47245628619943e-12
YCL048W-A	727.214925961873	-1.77746281945441	0.232560969556037	-7.6429971153269	2.12222747498233e-14	5.1398716961399e-12
YDR158W	6506.33835358095	-1.93523480322153	0.255854793022988	-7.56380124974892	3.91457720494715e-14	9.1296639479823e-12
YDR015C	56.1926719438647	3.74169609218872	0.501639914322746	7.45892817807431	8.72291370744026e-14	1.96172098627683e-11
YER073W	2074.39000049199	-2.32566578878525	0.315454538406665	-7.37242773723274	1.67548418801485e-13	3.63811170066535e-11
YBL095W	987.646717014773	-1.33225691104067	0.181334279098456	-7.34696670516068	2.02755346878532e-13	4.25583473098039e-11
YLR164W	851.647882302105	-2.15405603440808	0.300769922524991	-7.16180666046851	7.9620664728798e-13	1.56678539311638e-10
YOR376W	111.914633878533	-1.82410976231535	0.254590942937937	-7.16486510189805	7.78631877318437e-13	1.56678539311638e-10
YNL072W	288.71185788153	-1.40846791184877	0.197605860647485	-7.12766264742206	1.02087607951479e-12	1.94801717354685e-10
YLR290C	693.427059674579	-1.32094363092383	0.185935179209796	-7.10432332675127	1.20913486101163e-12	2.2393888881736e-10
YOL047C	198.249995162396	-1.93468828213083	0.272623690836522	-7.09655230693418	1.2790755030701e-12	2.30123955509499e-10
YFR030W	814.061911841222	-2.14545569209607	0.305412473617749	-7.02478083714843	2.14402519087612e-12	3.75025739637415e-10
YOR161C	1607.3856908025	-1.40293522764648	0.20074792463472	-6.98854162601806	2.77758270114846e-12	4.72714547814375e-10
YJL025W	223.980816063118	-1.71156326735157	0.247302226604966	-6.92093755421607	4.48664246346379e-12	7.43483884011355e-10
YMR107W	11601.178576998	-1.74183165572586	0.253589049003242	-6.86871796149048	6.47814374800619e-12	1.04597105592808e-09
