gene_id	EV_3	EV_4	DNMT3B_2	DNMT3B_3	DNMT3B_4
YAL008W	870	1041	717	948	1039
YBR255W	449	450	392	386	403
YGR164W	2	0	0	0	1
YGR131W	109	46	106	55	33
YNL003C	480	440	477	418	366
YBR135W	233	156	285	187	138
YBR160W	392	346	596	443	369
YJL082W	1052	1122	1247	1206	1256
YJL142C	13	9	10	15	13
YPL191C	227	179	202	164	179
YGL215W	1402	1260	1219	1155	1157
YKL074C	200	218	234	233	214
YLR467C-A	0	0	0	0	0
YJL077C	313	238	191	194	151
YKL096W-A	18018	8977	27344	18805	11605
YIL124W	2433	2799	2169	2263	2325
YLR364C-A	1	0	0	0	0
YIL171W	9	6	12	10	14
YPL039W	556	511	380	397	359
YNL170W	135	98	215	145	107
YGL141W	448	449	333	392	448
YJL179W	71	55	82	88	94
YDR316W-A	0	0	0	0	0
YDR316W-B	0	0	0	0	0
YKL083W	92	102	133	153	153
tI(AAU)N2	2	2	0	2	2
YOR009W	254	107	258	109	116
YKL029C	2585	1609	1002	745	605
YPL166W	293	240	232	248	175
YKL052C	340	235	342	310	223
YHR025W	1156	673	910	721	635
YOL034W	109	75	167	152	92
YBL008W	106	84	119	115	115
YIL062C	939	1211	1308	1117	1123
YCL023C	1	3	7	2	4
tC(GCA)P1	0	0	1	0	0
tC(GCA)P2	0	0	0	1	0
YOL116W	394	407	322	299	355
YDR196C	846	923	614	710	699
YBR280C	1202	1073	743	730	675
YNR032W	227	196	266	249	190
YNR045W	520	577	486	633	540
YML105C	325	293	476	431	414
YNL288W	518	436	571	524	450
tI(AAU)P2	0	0	0	0	0
tI(AAU)P1	0	0	0	0	0
YIL059C	768	667	616	633	455
YIL004C	278	272	292	315	268
YNR018W	673	449	890	738	615
YPL144W	31	14	37	32	26
YFR047C	2704	2287	2293	1827	1625
YER087C-B	273	211	559	355	271
YHR078W	596	570	418	408	456
YIR023C-A	53	40	50	48	52
YJR115W	3773	2475	2547	2021	1509
YLR355C	57630	48854	14396	11850	11182
YGR099W	141	115	206	177	133
YLR300W	1931	2014	4682	3311	2939
YCL028W	945	908	1038	958	896
YJR140C	118	124	155	152	164
YOR033C	244	157	245	205	143
YOR062C	409	223	293	221	207
YBR043C	530	282	448	351	258
YHR112C	784	729	675	602	560
YLR011W	147	132	142	139	119
YIL044C	308	259	246	230	217
YHR126C	26	8	33	10	6
YKR084C	264	265	348	308	279
YER121W	742	560	502	506	456
YCR046C	464	567	599	787	895
tD(GUC)G1	0	1	0	0	1
tD(GUC)G2	2	2	2	0	1
YKL204W	547	538	694	733	624
YOR266W	159	132	134	173	189
YDR393W	247	177	167	194	183
YGL171W	104	57	159	166	133
YPR194C	401	239	769	805	626
YGR019W	3191	3997	2559	2895	3454
YBL033C	1773	1093	1405	1065	836
tE(UUC)G1	1	0	0	0	0
tE(UUC)G3	0	0	1	0	0
tE(UUC)G2	0	0	0	0	0
YJL188C	1755	794	2520	2130	1661
YLL057C	356	243	263	210	228
YPL060C-A	2	3	1	2	0
YNL229C	934	778	842	784	700
YNL277W	690	237	321	227	214
YMR040W	232	251	240	200	192
YDR077W	66031	69935	87145	96564	94346
YMR266W	966	778	1141	863	647
YKR064W	298	203	219	215	189
YPL089C	665	813	1050	826	877
YGR277C	174	165	276	215	253
YDL139C	227	183	141	148	159
YDR246W	586	534	582	557	550
YOR288C	157	119	346	223	146
YDL240C-A	0	0	2	4	1
YCR028C	308	178	313	272	201
YML054C	5518	4234	6296	3445	1713
YLR179C	810	826	717	578	481
YOR141C	540	428	419	410	394
YPL280W	82	99	58	60	58
YBL106C	248	224	209	212	254
YGL044C	452	436	318	319	323
YER107C	189	149	239	215	166
YBR038W	145	111	438	327	208
YER076W-A	31	26	33	29	21
YGR259C	1685	403	1979	1192	404
YEL047C	1090	760	1132	1101	1083
YPR016C	926	581	1063	968	675
YLR157C	0	0	0	0	0
YDL055C	2871	2265	8763	5512	4308
YML009C	204	153	264	320	260
YML072C	1989	2126	1745	2101	1806
YDR142C	447	379	343	388	298
YFL044C	363	400	340	401	449
RDN37-2	0	0	0	0	0
YBL113W-A	83	70	70	68	49
YKL019W	542	493	608	485	451
YJL130C	4311	1817	3907	3902	3182
YBL085W	459	455	436	417	402
YBR116C	28	97	19	27	41
YDR166C	436	470	365	418	402
YHR212W-A	0	0	0	0	0
YDR082W	256	201	203	198	204
YDR348C	812	537	1053	820	560
YKL182W	2940	1175	12658	8784	3541
YDR333C	257	174	290	264	224
YKL018C-A	287	274	254	264	257
YPL027W	134	66	105	80	50
YIR012W	208	176	315	253	249
YLR363C	160	146	121	132	120
YEL077W-A	21	10	12	15	6
YDR179C	98	69	114	78	75
YML089C	50	13	43	26	15
YLR431C	167	176	199	233	198
YKR046C	13573	14588	8851	8901	8659
YJR005W	490	364	805	703	628
YJL116C	2567	730	2093	1750	942
YER030W	638	634	572	622	602
YHR041C	141	118	148	149	157
YJR072C	468	394	488	621	618
YEL030C-A	33	34	17	10	17
YKR039W	12451	6133	13171	13191	5915
YGL003C	690	534	546	573	434
YPL009C	705	600	676	640	601
YDR268W	76	61	118	112	99
YGL192W	998	784	933	856	732
YDL117W	153	145	296	195	207
YMR131C	278	156	395	330	264
YMR293C	160	221	168	200	215
YJL214W	34	35	63	52	49
YIL105C	1336	1065	1031	1010	710
YML126C	1640	1017	2151	1093	633
YLR189C	1325	1094	804	878	737
YIL150C	63	43	91	90	68
YLR349W	384	150	277	201	98
YGL250W	477	519	352	375	362
YBR212W	1871	2131	1409	1311	999
YJR109C	3526	1459	1894	1313	1001
YLR254C	340	316	428	410	306
YGR085C	676	337	514	546	504
YPL105C	576	605	782	731	687
tD(GUC)M	1	0	0	0	0
YGR145W	186	90	241	200	166
YGR110W	582	462	331	272	207
tD(GUC)O	6	5	1	1	0
YKL177W	48	20	48	34	26
YGL154C	595	393	273	239	238
tK(UUU)Q	0	0	0	1	0
tK(UUU)P	0	0	0	0	0
tK(UUU)O	0	1	0	2	1
YBR129C	305	239	302	253	181
tK(UUU)K	1	0	1	1	0
tK(UUU)D	3	1	4	0	0
YDL215C	5604	4493	5018	5397	4439
YKL099C	107	35	141	108	76
YDR315C	111	98	118	123	90
YLR394W	184	234	234	265	243
YNL104C	37306	29261	8658	8455	6741
YNL151C	187	89	273	229	197
YNR066C	41	20	93	79	84
YLR220W	1384	1087	958	965	901
YHR006W	2004	1450	1128	968	911
YMR232W	350	253	318	259	243
YNL083W	269	264	285	277	197
YGR038C-A	0	0	0	0	0
YGR038C-B	32	14	42	46	43
YER168C	219	148	199	212	152
YPL265W	9210	3825	4828	5820	3122
YOR227W	1505	1447	1305	1299	1304
YOR081C	892	697	804	813	621
YEL026W	110	84	422	248	242
YGR050C	116	60	88	96	58
YDR021W	40	44	59	60	63
YGL063W	141	81	164	137	96
YPL212C	455	237	281	232	218
YOL157C	53	52	67	67	87
YOR345C	20	11	17	16	11
YPR095C	339	286	352	327	283
YOR310C	503	223	1023	837	627
YDR188W	1549	1302	1679	1501	1424
YAL027W	219	265	251	257	254
YGL236C	192	103	197	244	195
YHR133C	145	119	215	239	176
YDR017C	543	387	570	581	446
YAR061W	0	0	0	0	0
YIL090W	654	486	481	471	473
YBR183W	998	1076	943	594	619
YOL048C	1897	1687	729	635	591
YML039W	0	0	1	4	2
YCR007C	354	321	493	324	267
YDR016C	248	167	172	160	132
YEL004W	142	155	158	155	130
YPR057W	263	222	224	197	156
YLL032C	131	126	145	141	161
YDR116C	397	391	546	651	640
YPL119C-A	234	240	128	120	122
YHR130C	8	16	17	15	9
YLR030W	245	164	176	165	121
YDR122W	1097	1040	1052	1007	859
YOL062C	648	654	979	888	886
YNL234W	152	132	199	148	146
YLR467W	1	0	0	0	0
YJL194W	45	41	50	40	44
YOL015W	156	63	157	98	62
YDL070W	1448	1754	1752	1561	1819
YOR241W	201	186	251	226	240
YLR056W	870	453	2062	972	520
YPR039W	3	0	5	1	1
YMR054W	636	508	776	643	498
YKL110C	223	199	254	212	256
YML100W-A	4	6	7	4	11
YNL255C	1003	809	937	885	711
YLR204W	473	526	583	727	728
YML097C	224	114	145	122	131
YKR007W	273	226	266	276	217
YDL096C	34	36	45	51	27
YHR193C	1360	1255	2477	2243	2137
YBL099W	6265	10692	5936	8697	10636
YOR126C	440	332	228	245	190
YMR023C	180	182	199	163	187
YOR119C	795	650	714	747	796
YIL047C-A	5	4	2	1	3
YNL187W	165	106	125	96	90
YMR141C	310	300	200	178	191
YMR101C	20	17	195	128	123
YCL045C	455	390	551	562	483
YCR061W	964	1103	716	633	565
YOR199W	6	0	4	2	6
YPR115W	728	805	715	689	564
YHR088W	253	94	264	247	166
YBR017C	218	183	301	259	253
YPR162C	214	144	168	180	143
YGR166W	121	130	201	160	171
YDL161W	481	432	815	780	574
YKL050C	543	581	293	265	270
YJR055W	86	72	82	101	90
YGL099W	182	121	259	246	226
YFL030W	2234	4578	1337	2654	4222
YIL119C	1359	1293	658	766	725
YPL193W	377	332	331	332	257
YNL005C	555	525	708	900	781
YGL217C	15	8	11	12	15
YJL144W	1524	1670	1193	1269	1266
YBR012W-B	2	0	7	7	3
YBR012W-A	0	0	0	0	0
YJR139C	1499	1502	1405	1411	1234
YBR133C	258	184	281	197	147
YBR162C	1179	888	4617	2488	1383
YFL002W-B	0	0	0	0	0
YJL079C	2966	2022	2658	3054	1734
YGL019W	473	470	602	593	582
YGR201C	2098	3043	1043	1253	1407
YNL172W	276	172	244	238	212
YNL058C	167	126	427	295	214
YPL160W	2651	1425	794	714	523
YOL083C-A	209	186	166	139	129
YNL023C	266	141	214	217	183
YDR214W	863	1124	723	803	979
YIL126W	341	216	438	375	285
YLR295C	1401	2279	1332	1953	2277
YER175W-A	15	6	13	14	14
YHR168W	89	96	110	130	113
YOR064C	369	256	282	284	228
YOR159C	116	134	144	161	133
tY(GUA)F2	0	0	0	0	0
tY(GUA)F1	0	0	0	0	0
YOR130C	742	290	274	222	146
YOL081W	1471	1459	939	1037	1132
YOL036W	1202	749	1119	844	767
YGL148W	2422	1154	1565	960	787
YOR031W	1647	2067	840	1035	1290
YPR204C-A	0	1	1	0	1
YBR282W	181	213	241	315	306
YDR194C	276	274	416	484	418
YOL114C	50	37	31	18	11
YJR108W	80	69	59	47	36
YNR030W	138	159	277	192	160
